,HourUTC,HourDK,PriceArea,Version,FuelAllocationMethod,ReportGrpCode,ProductionType,DeliveryType,Production_MWh,ShareTotal,ShareGrid,FuelConsumptionGJ,CO2PerkWh,CO2originPerkWh,SO2PerkWh,NOxPerkWh,NMvocPerkWh,CH4PerkWh,COPerkWh,N2OPerkWh,SlagPerkWh,FlyAshPerkWh,ParticlesPerkWh,WastePerkWh,DesulpPerkWh
19,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,Preliminary,Total,R01-1,BioGas,Grid,54.002268,2.063986,2.063986,511.877013,0.0,797.167571,182.250433,1906.997931,94.433076,4094.588357,2926.271692,15.09953,0.0,0.0,24.879118,0.0,0.0
20,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,Preliminary,Total,R01-2,Straw,Grid,36.396839,1.3911,1.3911,566.294348,0.0,1555.888777,762.3855,1944.860971,12.135932,7.312677,1042.44548,17.114776,14.034116,6.067966,35.785441,0.0,0.0
21,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,Preliminary,Total,R01-3,Wood,Grid,94.664896,3.618127,3.618127,1259.762661,0.0,1490.451292,36.580507,551.480504,278.770046,51.060037,1383.88297,14.618323,12.003455,5.189964,298.172362,0.0,0.0
22,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,Preliminary,Total,R04x,FossilGas,Grid,25.837461,0.987517,0.987517,250.515993,548.801302,548.801302,8.828382,1513.205696,77.223316,352.223861,143.126662,9.398891,0.0,0.0,41.071055,0.0,0.0
23,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,Preliminary,Total,R05x,Coal,Grid,163.688322,6.256229,6.256229,1617.120635,930.62695,930.62695,108.671936,167.947538,9.879266,8.89134,98.792669,7.903413,7.646552,44.427063,29.6378,0.0,16.152601
24,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,Preliminary,Total,R06x,Fossil Oil,Grid,2.059381,0.07871,0.07871,32.580394,1255.064526,1255.064526,1230.212242,2028.799871,15.14316,16.833236,180.970542,27.891718,0.909964,5.286963,83.444946,0.0,1.922211
25,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,Preliminary,Total,R17,Waste,Grid,57.975954,2.215862,2.215862,1281.654462,939.532857,2338.884148,183.48524,1724.319126,12.379727,7.516262,86.215956,26.527986,380.765033,0.0,6.41093,57.676264,0.0
26,2023-01-01T22:00:00,2023-01-01T23:00:00,DK2,Preliminary,125%,R01-1,BioGas,Grid,6.380815,0.430379,0.430379,39.392148,0.0,519.193814,118.531762,1247.052919,61.735293,2679.311719,1913.794085,9.877646,0.0,0.0,16.236382,0.0,0.0
27,2023-01-01T22:00:00,2023-01-01T23:00:00,DK2,Preliminary,125%,R01-2,Straw,Grid,28.489477,1.921586,1.921586,217.468085,0.0,763.327754,374.030599,954.159693,5.953956,3.58764,511.429595,8.396605,6.885216,2.976978,17.556538,0.0,0.0
28,2023-01-01T22:00:00,2023-01-01T23:00:00,DK2,Preliminary,125%,R01-3,Wood,Grid,320.092587,21.589923,21.589923,2290.025714,0.0,801.27716,14.726327,407.431098,57.644558,23.162002,662.563094,6.121907,6.453142,2.790161,88.105237,0.0,0.0
