,HourUTC,HourDK,PriceArea,ConnectedArea,ReportGrpCode,Version,ReportGrp,SharePPM,ShareMWh,CO2Emission
43,2023-01-01T22:00:00,2023-01-01T23:00:00,DK2,DK2,R17,Preliminary,Waste,32250,76.380167,28327.49028
44,2023-01-01T22:00:00,2023-01-01T23:00:00,DK2,DK2,R18,Preliminary,WindOffshore,322843,764.600595,0.0
45,2023-01-01T22:00:00,2023-01-01T23:00:00,DK2,DK2,R19,Preliminary,WindOnshore,116909,276.87913,0.0
46,2023-01-01T22:00:00,2023-01-01T23:00:00,DK2,SE,R06x,Preliminary,Fossil oil a.o.,18144,42.972307,34982.61991
47,2023-01-01T22:00:00,2023-01-01T23:00:00,DK2,SE,R11x,Preliminary,Hydro,120166,284.593884,
48,2023-01-01T22:00:00,2023-01-01T23:00:00,DK2,SE,R14,Preliminary,Nuclear,119547,283.128919,
49,2023-01-01T22:00:00,2023-01-01T23:00:00,DK2,SE,R19,Preliminary,Onshore,111321,263.644881,
50,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,DK1,R01-1,Preliminary,BioGas,9510,47.671482,0.0
51,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,DK1,R01-2,Preliminary,Straw,7428,37.233591,0.0
52,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,DK1,R01-3,Preliminary,Wood,13668,68.509482,0.0
53,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,DK1,R04x,Preliminary,FossilGas,4744,23.780359,9165.206164
54,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,DK1,R05x,Preliminary,Coal,39786,199.423534,142897.810128
55,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,DK1,R06x,Preliminary,Fossil Oil,801,4.015988,2670.761138
56,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,DK1,R11x,Preliminary,Hydro,640,3.210032,0.0
57,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,DK1,R16,Preliminary,Solar,18,0.093564,0.0
58,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,DK1,R17,Preliminary,Waste,13193,66.13082,20782.360972
59,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,DK1,R18,Preliminary,WindOffshore,198152,993.197559,0.0
60,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,DK1,R19,Preliminary,WindOnshore,303716,1522.313013,0.0
61,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,DK2,R01-1,Preliminary,BioGas,409,2.054654,0.0
62,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,DK2,R01-2,Preliminary,Straw,1664,8.343753,0.0
63,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,DK2,R01-3,Preliminary,Wood,16392,82.163637,0.0
64,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,DK2,R04x,Preliminary,FossilGas,203,1.018793,426.61337
65,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,DK2,R05x,Preliminary,Coal,1,0.006274,7.292568
66,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,DK2,R06x,Preliminary,Fossil Oil,218,1.097277,1104.201045
67,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,DK2,R16,Preliminary,Solar,2,0.014956,0.0
68,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,DK2,R17,Preliminary,Waste,3752,18.807397,6960.477241
69,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,DK2,R18,Preliminary,WindOffshore,42324,212.146114,0.0
70,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,DK2,R19,Preliminary,WindOnshore,16202,81.211822,0.0
71,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,GE,R01,Preliminary,Biomass,30390,152.325919,0.0
72,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,GE,R02,Preliminary,Brown coal,30509,152.925131,143203.909624
73,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,GE,R04x,Preliminary,Fossil gas,15814,79.264502,43829.080294
74,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,GE,R05x,Preliminary,Coal,12778,64.047954,59976.521805
75,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,GE,R06x,Preliminary,Fossil oil a.o.,1316,6.599744,5207.190661
76,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,GE,R11x,Preliminary,Hydro,18787,94.1688,
77,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,GE,R14,Preliminary,Nuclear,16578,83.096066,
78,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,GE,R15x,Preliminary,Other renewable,870,4.363264,
